_GENE,Genename,GeneID,log2FoldChange,padj,baseMean
4930548H24Rik,4930548H24Rik,ENSMUSG00000029138,2.8852162167471,0.194389779409005,3.26233866462785
Acot12,Acot12,ENSMUSG00000021620,2.77311154152836,0.40237260350678,2.0093226930395
Myh15,Myh15,ENSMUSG00000092009,2.76251991823823,0.385402923147997,2.08891841024956
Cdh26,Cdh26,ENSMUSG00000039155,2.75436431025509,0.392644072686325,2.07180957065837
Npb,Npb,ENSMUSG00000044034,2.73465032426312,0.465266014966334,1.94551110819047
Chrna9,Chrna9,ENSMUSG00000029205,2.65606946501043,0.000688909334120001,20.2572708971777
Gm22270,Gm22270,ENSMUSG00000077222,2.64016734176183,0.108532311336515,4.68106006770767
Gm43712,Gm43712,ENSMUSG00000104649,2.5414645546452,0.402447752717203,2.58639184494284
Gm45487,Gm45487,ENSMUSG00000110146,2.53637006139772,0.385402923147997,2.53821607535964
Gm43947,Gm43947,ENSMUSG00000107448,2.52197478780957,0.40919759729862,3.39042354937353
B230312C02Rik,B230312C02Rik,ENSMUSG00000084843,2.51979899664914,0.0422158963569024,763.970682312916
Gm42457,Gm42457,ENSMUSG00000105339,2.51694140099343,0.351173742379066,2.57868003635314
Gm45407,Gm45407,ENSMUSG00000109873,2.47177292718886,0.305677273411282,5.73174652676032
AW551984,AW551984,ENSMUSG00000038112,2.44479584432803,0.000219009265336341,59.9408388760176
Gm7325,Gm7325,ENSMUSG00000079471,2.40268808394465,0.497304829443237,2.49031683071304
Rab3c,Rab3c,ENSMUSG00000021700,2.39113298248918,0.34178405442907,3.14652643742806
Gm16793,Gm16793,ENSMUSG00000097357,2.35238057467791,0.194389779409005,4.74760610138676
Sall1,Sall1,ENSMUSG00000031665,2.31954639421859,0.432081896318048,2.27328050751062
Frmpd2,Frmpd2,ENSMUSG00000108841,2.29676597644077,0.404244352889146,2.3867363494224
Gpr156,Gpr156,ENSMUSG00000046961,2.27690324204936,0.149710813637095,6.30066467593918
Gm45779,Gm45779,ENSMUSG00000110558,2.22537867080267,0.560523983495697,2.27259389989431
Gm10637,Gm10637,ENSMUSG00000099207,2.21405461945062,0.269371945891913,3.74840408450686
Lilra5,Lilra5,ENSMUSG00000070873,2.19876987392384,0.378981958022907,2.93248975653968
Hist1h2ac,Hist1h2ac,ENSMUSG00000069270,2.14860268124094,0.57990821184379,2.06044282801038
Gm37052,Gm37052,ENSMUSG00000103343,2.1408892148661,0.683433561338172,2.05953612213679
Gm42541,Gm42541,ENSMUSG00000104622,2.14087726479691,0.483567557412655,2.13038891472583
Gm3510,Gm3510,ENSMUSG00000096936,2.1237340515405,0.502548714320001,2.19598649071214
Gm5342,Gm5342,ENSMUSG00000098017,2.12359423997812,0.410433559645018,2.77302266969346
Dmp1,Dmp1,ENSMUSG00000029307,2.09483735257123,1.26835057141328e-06,43.3510317702778
Gm43721,Gm43721,ENSMUSG00000104947,2.09092122995276,0.623728023301114,2.05750146482468
Cdkn3,Cdkn3,ENSMUSG00000037628,2.07979754727172,0.424911238848312,4.05981540386999
Lancl3,Lancl3,ENSMUSG00000047344,2.05306743060267,0.0144162757596444,12.5140234017116
Gm44164,Gm44164,ENSMUSG00000107756,2.0439253811881,0.338137651680564,4.17951047211048
Gm17203,Gm17203,ENSMUSG00000090965,2.03457003209187,0.540278796915185,2.02607787341221
2010009K17Rik,2010009K17Rik,ENSMUSG00000100860,2.03419501602852,0.569121121892413,1.98217567179165
9030619P08Rik,9030619P08Rik,ENSMUSG00000053168,2.00815155686258,0.0712530874855627,9.40358666397255
Gm45509,Gm45509,ENSMUSG00000109781,2.00423907320311,0.514821399523991,2.58047000230972
Pcdh11x,Pcdh11x,ENSMUSG00000034755,1.99833565956731,0.577660237041581,2.03464295363167
Arhgap36,Arhgap36,ENSMUSG00000036198,1.99691161560588,0.128750834792503,7.01598375228514
Nrxn3,Nrxn3,ENSMUSG00000066392,1.98899679621777,0.551771251938415,1.97982988713204
Ahrr,Ahrr,ENSMUSG00000021575,1.970552513861,0.237948540370324,4.5533822546342
Hhipl2,Hhipl2,ENSMUSG00000053461,1.9701593727165,0.508980186063848,2.48764689563528
Gm43322,Gm43322,ENSMUSG00000105939,1.94975859640494,0.612694599328577,1.93396797096585
Ttk,Ttk,ENSMUSG00000038379,1.93441755043993,0.332975007415894,4.34231854510716
Gm45022,Gm45022,ENSMUSG00000109128,1.92799916641056,0.370624140142225,3.79090667763178
Gm45378,Gm45378,ENSMUSG00000110326,1.89255541376549,0.184171155759116,5.58087190892591
Opn4,Opn4,ENSMUSG00000021799,1.88951245393418,0.636837890481515,1.94826547617114
Il12rb2,Il12rb2,ENSMUSG00000018341,1.88280724564853,0.590055294191257,2.38699323381719
Casr,Casr,ENSMUSG00000051980,1.88274963715441,0.0156042811224321,490.106029524651
Troap,Troap,ENSMUSG00000032783,1.869832171257,0.466955960337848,3.01311600924853
Mccc1os,Mccc1os,ENSMUSG00000086392,1.85655924794391,0.0429509159765213,10.2356044740417
Tmem8c,Tmem8c,ENSMUSG00000009214,1.85235049228004,0.0222622707149483,19.7149566162117
BC021767,BC021767,ENSMUSG00000085006,1.84080063921586,0.569690608458193,2.40556774880619
Vstm2a,Vstm2a,ENSMUSG00000048834,1.8392420559497,0.231510039947054,6.06367531884605
Gria1,Gria1,ENSMUSG00000020524,1.81699145226138,0.32217744758089,4.12456087096409
1200007C13Rik,1200007C13Rik,ENSMUSG00000087684,1.81614490503865,0.470816788573651,2.95416265773218
Grip1,Grip1,ENSMUSG00000034813,1.81028950370135,0.550457818299665,2.34329190898148
Rs1,Rs1,ENSMUSG00000031293,1.80861759035284,0.42437646079756,4.26045949653535
Gm6155,Gm6155,ENSMUSG00000068629,1.79391136632598,0.61272826296126,2.19186264360253
Ccdc169,Ccdc169,ENSMUSG00000048655,1.78432227387145,0.571556315876885,2.39651901091879
Gm24299,Gm24299,ENSMUSG00000088929,1.77603190653992,0.539430162982625,2.85023896923223
Hsd11b2,Hsd11b2,ENSMUSG00000031891,1.77596871699549,0.518798792860808,4.9556852765781
Erich5,Erich5,ENSMUSG00000044726,1.7676267344921,0.542732829316103,2.95896745682103
Gm24325,Gm24325,ENSMUSG00000093085,1.76655501164365,0.583483959658954,2.36902716872826
Actc1,Actc1,ENSMUSG00000068614,1.76152816710209,0.256195953747508,57989.2218225015
Cldn2,Cldn2,ENSMUSG00000047230,1.75617561939372,0.562656259989675,2.36474356216373
Gm38211,Gm38211,ENSMUSG00000104476,1.75510700275059,0.639861970249643,2.74340022462569
Gm45836,Gm45836,ENSMUSG00000110631,1.74597371726563,0.118137072870894,98.3013020585619
Gm6969,Gm6969,ENSMUSG00000066553,1.74450392693994,0.553961705606141,2.71325244304538
2700016F22Rik,2700016F22Rik,ENSMUSG00000097731,1.7441936903817,0.52124502222159,2.96702831067157
9430025C20Rik,9430025C20Rik,ENSMUSG00000055216,1.73528954478584,0.606332005129237,2.20739061224194
C130080G10Rik,C130080G10Rik,ENSMUSG00000092397,1.73171454243381,0.451149491675224,121.453855778439
Gm6665,Gm6665,ENSMUSG00000091561,1.73057537981272,0.529785114633426,2.78962006436234
Rasl10a,Rasl10a,ENSMUSG00000034209,1.72346995758113,0.550671822206338,2.82645947016311
9630010A21Rik,9630010A21Rik,ENSMUSG00000103867,1.72026681843621,0.533668599406099,2.88579038257361
Gm37899,Gm37899,ENSMUSG00000102657,1.71125114515676,0.699431130349959,2.20802928184904
Gm42971,Gm42971,ENSMUSG00000105568,1.7102020166318,0.623728023301114,2.79472104626119
Gm27483,Gm27483,ENSMUSG00000099143,1.70060693045494,0.60664235391393,5.98980836459115
Gm24270,Gm24270,ENSMUSG00000076281,1.69867354144992,0.625819755650278,3.80334285607569
Maats1,Maats1,ENSMUSG00000022805,1.69824296959448,9.23758917773519e-05,32.34736503686
Gm12843,Gm12843,ENSMUSG00000085749,1.69742601780478,0.594440149850515,2.17390295482383
Jakmip3,Jakmip3,ENSMUSG00000056856,1.69603900920999,0.656243146554077,2.36408397253324
Gm15169,Gm15169,ENSMUSG00000086188,1.69504436886247,0.715058267548427,2.15136318713793
Gm26728,Gm26728,ENSMUSG00000101162,1.68664764490157,0.699443795261447,2.08169660660975
Gm42582,Gm42582,ENSMUSG00000106709,1.6787122668626,0.643996203999964,2.17306721934273
Gm10463,Gm10463,ENSMUSG00000102759,1.67309374741107,0.702466494461145,2.14880141969283
1700001G11Rik,1700001G11Rik,ENSMUSG00000085984,1.66053322253835,0.569690608458193,2.63000911770961
Ghrl,Ghrl,ENSMUSG00000064177,1.65909152291961,0.153117253163523,7.65509224994333
Olfr1033,Olfr1033,ENSMUSG00000045392,1.65569293810604,0.566668356818325,3.28766148780291
Gm44888,Gm44888,ENSMUSG00000109096,1.65462016978262,0.567794667994239,2.76759350395136
Gm23205,Gm23205,ENSMUSG00000089296,1.65229763378298,0.623728023301114,2.7871650017574
Gm45011,Gm45011,ENSMUSG00000108968,1.6478606633178,0.623728023301114,2.14097805162901
Gm15991,Gm15991,ENSMUSG00000087266,1.64183710859568,0.274989523443969,6.39900455533578
Pla2g12b,Pla2g12b,ENSMUSG00000009646,1.64142841263499,0.480921008702445,3.23565124646936
Slc39a12,Slc39a12,ENSMUSG00000036949,1.63059602840867,0.0472921767093108,21.6722324224491
Gm43618,Gm43618,ENSMUSG00000105403,1.62485967378273,0.645548872047579,2.11629822299654
Slc3a1,Slc3a1,ENSMUSG00000024131,1.62316485110401,0.577660237041581,4.15103592062684
Ypel1,Ypel1,ENSMUSG00000022773,1.62257539708528,0.042387707997773,18.421747915787
1700001L19Rik,1700001L19Rik,ENSMUSG00000021534,1.61350361804556,0.579177591076671,3.18117178845721
Ak7,Ak7,ENSMUSG00000041323,1.60835865685514,0.418311717412789,4.64785485930017
Scn11a,Scn11a,ENSMUSG00000034115,1.59740842683231,0.718730129193212,2.00947192092811
Gm44189,Gm44189,ENSMUSG00000108092,1.5905474594971,0.53321459963557,3.11461590629647
Adgra1,Adgra1,ENSMUSG00000025475,1.59037750703862,0.693575146244203,2.2185943852352
Grin2b,Grin2b,ENSMUSG00000030209,1.58476307191087,0.612728104579681,3.17573872745292
Mmp8,Mmp8,ENSMUSG00000005800,1.57904498298933,0.635880676424344,2.18094569194589
Necab1,Necab1,ENSMUSG00000040536,1.57240788338481,0.0637481261813254,18.7816222234152
Slc2a5,Slc2a5,ENSMUSG00000028976,1.56939086270596,0.559128894919634,3.10903542125718
Cdcp1,Cdcp1,ENSMUSG00000035498,1.56608055299297,0.695289418522947,2.03464442645159
Rph3a,Rph3a,ENSMUSG00000029608,1.56257093629242,0.800732622057949,1.94267445049345
Gm26601,Gm26601,ENSMUSG00000097859,1.56015493662427,0.615574394548035,3.5340257250184
Gm14340,Gm14340,ENSMUSG00000074507,1.55613229118808,0.615392290185435,2.49308179854928
Gm6253,Gm6253,ENSMUSG00000071237,1.55442609665212,0.639522774822121,2.66768950122124
Catsperg1,Catsperg1,ENSMUSG00000049676,1.55258187934015,0.000752870786428419,27.3359607598006
Gm45297,Gm45297,ENSMUSG00000109775,1.55241101849768,0.677176502901315,1.9691081904014
Unc13c,Unc13c,ENSMUSG00000062151,1.5430859840315,0.0519397251658493,16.4762058140528
ENSMUSG00000054758,,ENSMUSG00000054758,1.53743628114864,0.677176502901315,2.01107863634491
Nanos3,Nanos3,ENSMUSG00000056155,1.53736297112202,0.713452730418695,1.9498937231056
Drd1,Drd1,ENSMUSG00000021478,1.52635576939313,0.490822018322673,4.87969196445447
Cfap77,Cfap77,ENSMUSG00000079502,1.52500403941372,0.667636639266593,2.60449691692108
Nanos1,Nanos1,ENSMUSG00000072437,1.52044503049476,0.619484648456376,3.03633630753963
3110035E14Rik,3110035E14Rik,ENSMUSG00000067879,1.51427528485339,0.555883571595598,3.05766171662115
A730032A03Rik,A730032A03Rik,ENSMUSG00000085649,1.51277710697987,0.529785114633426,4.68069419610512
Gm8907,Gm8907,ENSMUSG00000098012,1.51187605672603,0.657778251242321,2.57414600323889
C030013D06Rik,C030013D06Rik,ENSMUSG00000079489,1.50552811303597,0.716730597233656,1.9624110829309
Hsbp1l1,Hsbp1l1,ENSMUSG00000078963,1.50461858148673,9.69366060814184e-06,122.166420687339
Gm42633,Gm42633,ENSMUSG00000106458,1.50411362356065,0.587140515728462,3.05309343070169
Gm31406,Gm31406,ENSMUSG00000103640,1.49670911025718,0.00959149956485441,25.0603857636857
Slitrk2,Slitrk2,ENSMUSG00000036790,1.49650137852078,0.61272826296126,3.23853608286891
Gm20109,Gm20109,ENSMUSG00000097714,1.49435536593976,0.702466494461145,2.45658787378086
Gm42895,Gm42895,ENSMUSG00000106676,1.49133224980588,0.739026276930066,1.92156614543397
1600015I10Rik,1600015I10Rik,ENSMUSG00000029813,1.48612278330872,0.648179415865793,2.5346442817381
8030474K03Rik,8030474K03Rik,ENSMUSG00000046774,1.48262249003101,0.926216044239436,2.67674694824935
Erich6,Erich6,ENSMUSG00000070471,1.47843301443287,0.470172050558349,4.04090254647372
Gm37195,Gm37195,ENSMUSG00000103611,1.4778381298581,0.604800792550196,3.36909934306338
Gm4779,Gm4779,ENSMUSG00000045010,1.4742440151654,0.902047705592179,4.86791575909963
Gipr,Gipr,ENSMUSG00000030406,1.47314165322026,0.693561079913437,2.44653384476004
Gm6377,Gm6377,ENSMUSG00000048621,1.46720240071037,0.59524096077045,3.02347914327037
Fbxo47,Fbxo47,ENSMUSG00000070336,1.46542441893875,0.344712600032627,7.07644353844497
Gm36638,Gm36638,ENSMUSG00000104214,1.46468589033541,0.738914851882676,2.29803859363922
Slc7a3,Slc7a3,ENSMUSG00000031297,1.45925381407055,0.408843725244835,5.00901844395627
Gm44986,Gm44986,ENSMUSG00000108573,1.45341265047759,0.387538067520687,5.43282129580725
Snap91,Snap91,ENSMUSG00000033419,1.4520309388543,0.358547120724702,6.84830973894396
Cbln2,Cbln2,ENSMUSG00000024647,1.45064853473647,0.274799388484756,7.62027556156445
Gm44022,Gm44022,ENSMUSG00000107706,1.44223490892211,0.550457818299665,6.02674237143342
2310016G11Rik,2310016G11Rik,ENSMUSG00000070574,1.43893929995452,0.597827234303485,2.93946483799889
Gm37488,Gm37488,ENSMUSG00000104125,1.43646701763411,0.625819755650278,6.65073272507279
Elavl2,Elavl2,ENSMUSG00000008489,1.43550129420604,0.722050733263769,1.97805083151501
Pla2g2c,Pla2g2c,ENSMUSG00000028750,1.43026337481844,0.719461806318854,1.96753338567749
Grin3b,Grin3b,ENSMUSG00000035745,1.42411446020319,0.194251278870038,9.25473484337812
Sox11,Sox11,ENSMUSG00000063632,1.42123605479514,0.451813952392908,4.76586306471613
AA543186,AA543186,ENSMUSG00000097345,1.41970590529098,0.682917614876184,2.29109267137467
Gm17067,Gm17067,ENSMUSG00000091594,1.41761020628046,0.689404882632988,2.47850294377982
F7,F7,ENSMUSG00000031443,1.41709725352479,0.622807794820442,3.18435759349959
Gm11127,Gm11127,ENSMUSG00000079492,1.40982222264124,0.677176502901315,2.37225977769936
4930430E12Rik,4930430E12Rik,ENSMUSG00000085295,1.40637515955794,0.767900596796828,2.23748459293393
ENSMUSG00000102727,,ENSMUSG00000102727,1.40116589113639,0.717078264212523,2.27401309185778
Gm18066,Gm18066,ENSMUSG00000110131,1.39295420656745,0.705373656830166,3.31604171722127
Sfmbt2,Sfmbt2,ENSMUSG00000061186,1.39168838061836,0.341072003626381,7.0702532642438
Gm38009,Gm38009,ENSMUSG00000103818,1.3914869607596,0.773448573497991,2.8766400749576
Cacnb4,Cacnb4,ENSMUSG00000017412,1.39030647843615,0.000462106553286633,43.4607673958109
Map3k21,Map3k21,ENSMUSG00000031853,1.38940520745949,0.703380569564148,2.98453443283195
Gpha2,Gpha2,ENSMUSG00000024784,1.38771781066879,0.32217744758089,7.01860642973074
Gm13594,Gm13594,ENSMUSG00000086881,1.38553320922461,0.723922365344643,1.9464775422445
Gucy2d,Gucy2d,ENSMUSG00000074003,1.38513077072502,0.762924022904436,1.92082707619116
Gm38379,Gm38379,ENSMUSG00000102665,1.38281363630234,0.583483959658954,3.78855707924481
Gm12199,Gm12199,ENSMUSG00000087080,1.38104065286096,0.00526474519703854,125.358740452724
Rpl14-ps1,Rpl14-ps1,ENSMUSG00000046721,1.3795104780454,0.433175531036389,5.13155115205392
Ppp1r1c,Ppp1r1c,ENSMUSG00000034683,1.37642279438663,0.513664020432906,4.20268406649667
Gm14444,Gm14444,ENSMUSG00000078906,1.37599906352897,0.600620295642291,4.50627922581009
mt-Tp,mt-Tp,ENSMUSG00000064372,1.3755849172531,0.562861208207601,9.54666215941872
Mab21l3,Mab21l3,ENSMUSG00000044313,1.36995844942387,0.774434536380179,2.40649214150836
Gsc,Gsc,ENSMUSG00000021095,1.36974234165101,0.722050733263769,2.38293272771192
Gm14022,Gm14022,ENSMUSG00000087151,1.3695636937932,0.69702676897745,2.45006380663406
Mxd3,Mxd3,ENSMUSG00000021485,1.36725881813816,0.556927850230334,6.61942490827965
Ak4,Ak4,ENSMUSG00000028527,1.3665312454255,0.114913943724005,200.832187328839
Gm38082,Gm38082,ENSMUSG00000104369,1.36567595992548,0.425169354514485,6.90544562884272
Hmmr,Hmmr,ENSMUSG00000020330,1.36527423772802,0.367783038998047,10.3546379784976
Lin7b,Lin7b,ENSMUSG00000003872,1.36443448010139,0.592353943861577,3.82929911510667
Fbxl13,Fbxl13,ENSMUSG00000048520,1.36271192610626,0.56424151549867,3.78321439778037
Pou1f1,Pou1f1,ENSMUSG00000004842,1.36002852994664,0.430817330607163,5.6230597095952
Gm37788,Gm37788,ENSMUSG00000102326,1.35666260384144,0.597240459113874,6.60083318680933
Mfsd4b5,Mfsd4b5,ENSMUSG00000038528,1.35331400131967,0.695021175773178,2.83318617644735
1810041L15Rik,1810041L15Rik,ENSMUSG00000062760,1.35228097710677,0.00192240523338448,70.3597519073749
Efna4,Efna4,ENSMUSG00000028040,1.34898985668634,0.585862068782642,3.63517166354872
4933404I11Rik,4933404I11Rik,ENSMUSG00000101153,1.34833792980279,0.512120288718029,5.78811734307757
Cdk1,Cdk1,ENSMUSG00000019942,1.3461373525662,0.395618362586629,17.9291683243697
Tvp23bos,Tvp23bos,ENSMUSG00000086677,1.34428222675692,0.772431035010302,2.24796426177157
Rergl,Rergl,ENSMUSG00000092164,1.34402666011931,0.77414019111466,1.93602143634309
Gsdma,Gsdma,ENSMUSG00000017204,1.34083912632975,0.254986480222,10.4175648645894
Gm14419,Gm14419,ENSMUSG00000078875,1.34065783624287,0.729427422140191,3.6134626863526
Gm18192,Gm18192,ENSMUSG00000110306,1.33568618386853,0.698363043512101,3.09561608252434
Notumos,Notumos,ENSMUSG00000053613,1.33182304806773,0.490822018322673,5.330352102317
4930513N10Rik,4930513N10Rik,ENSMUSG00000074136,1.33127407829188,0.590055294191257,3.29784284410489
Gm42907,Gm42907,ENSMUSG00000106254,1.3296643291351,0.681409474038591,3.19030333780838
Kif18b,Kif18b,ENSMUSG00000051378,1.3280454534114,0.633522069855561,4.86149381201126
Ppp1r1b,Ppp1r1b,ENSMUSG00000061718,1.32242842124037,0.533284975741145,5.37255030442236
Gm37979,Gm37979,ENSMUSG00000103135,1.31908572512854,0.710276931990451,2.27305706721216
H19,H19,ENSMUSG00000000031,1.31319590657279,0.0221499295035925,37973.9704622496
Creb3l3,Creb3l3,ENSMUSG00000035041,1.31188386342405,0.662010891619271,2.72036687123309
Gm29055,Gm29055,ENSMUSG00000100768,1.3001064719382,0.442198948518392,9.51033023731692
Cxcl10,Cxcl10,ENSMUSG00000034855,1.29918610959792,0.375552523869272,8.52117386231291
Hgf,Hgf,ENSMUSG00000028864,1.29637286056755,0.551690772130324,4.55335026401297
Gm26826,Gm26826,ENSMUSG00000097635,1.29520239443933,0.717078264212523,2.2199796631329
Gm43714,Gm43714,ENSMUSG00000105512,1.28910250737472,0.496107602068875,5.03301651986735
Agtr1b,Agtr1b,ENSMUSG00000054988,1.2809012402657,0.72292873192688,2.30243726391636
mt-Nd6,mt-Nd6,ENSMUSG00000064368,1.28040571711406,0.180014456586683,2348.93090856285
Slc1a3,Slc1a3,ENSMUSG00000005360,1.27966924125965,0.37299867893738,195.439728782835
Gm28439,Gm28439,ENSMUSG00000100131,1.27785681516215,0.479579151384533,9.65242234356052
Stmnd1,Stmnd1,ENSMUSG00000063529,1.27567564621159,0.37299867893738,9.58316484253461
Parpbp,Parpbp,ENSMUSG00000035365,1.2754904972198,0.606332005129237,4.01333550957255
Hist1h1b,Hist1h1b,ENSMUSG00000058773,1.27352526357745,0.739189996570146,2.33784535570994
mt-Tt,mt-Tt,ENSMUSG00000064371,1.2734122886789,0.767929105112832,2.09688025695438
Gpr85,Gpr85,ENSMUSG00000048216,1.27337653797439,0.619170672372694,3.52685227845719
Golga7b,Golga7b,ENSMUSG00000042532,1.26872319027818,0.0491540269268265,490.051720583502
Spta1,Spta1,ENSMUSG00000026532,1.26835235092229,0.625819755650278,3.55072563168286
Gm12682,Gm12682,ENSMUSG00000086592,1.26713846680531,0.612148917838896,4.58072462912073
Bricd5,Bricd5,ENSMUSG00000045744,1.26699279129901,0.776059519646682,1.93942871834488
Gm16265,Gm16265,ENSMUSG00000086473,1.265712360322,0.722050733263769,2.24907822074024
Gm17224,Gm17224,ENSMUSG00000092085,1.26507271687647,0.415459445883471,14.9830046474766
Gm42993,Gm42993,ENSMUSG00000105985,1.25804472189639,0.818320737874511,2.81574525775072
Gm33045,Gm33045,ENSMUSG00000109853,1.25799828121142,0.600620295642291,5.21888076061463
E230020D15Rik,E230020D15Rik,ENSMUSG00000108912,1.25721474261046,0.735528039136426,3.681849813263
Dlgap5,Dlgap5,ENSMUSG00000037544,1.25687979619523,0.432081896318048,7.20988245802375
Znf41-ps,Znf41-ps,ENSMUSG00000084350,1.25545031648638,0.489376433687527,5.28430446457338
Gm26541,Gm26541,ENSMUSG00000097889,1.25162734697597,0.732566307387434,2.57912599855601
Ckap2,Ckap2,ENSMUSG00000037725,1.25050993841744,0.291268029410529,13.426013056108
Ptchd4,Ptchd4,ENSMUSG00000042256,1.24764983603521,0.693508472781372,3.0028763887805
Fam196b,Fam196b,ENSMUSG00000069911,1.24458074257486,0.431313709761841,6.9545550985175
Cdh20,Cdh20,ENSMUSG00000050840,1.24456542364957,0.731797567409098,2.65335873209406
Gm17021,Gm17021,ENSMUSG00000091661,1.24105564900781,0.597827234303485,4.30579971873419
Gm5111,Gm5111,ENSMUSG00000052730,1.23937307599315,0.145194630254776,19.3818645822597
Kcng1,Kcng1,ENSMUSG00000074575,1.23758218207223,0.428727407499014,7.41977470255184
Gm44750,Gm44750,ENSMUSG00000108750,1.23738070758599,0.615453597334061,4.71186932675221
Lmntd1,Lmntd1,ENSMUSG00000054966,1.23712473779741,0.662010891619271,3.63849881638783
Gm7067,Gm7067,ENSMUSG00000109435,1.23703169547676,0.653894701698884,3.6677884130816
Gm26608,Gm26608,ENSMUSG00000097673,1.23606302569562,0.74117219467067,2.30051060184986
Gm45809,Gm45809,ENSMUSG00000109708,1.23385274832975,0.794088125891439,2.25583894967565
2200002A13Rik,2200002A13Rik,ENSMUSG00000108479,1.23183174670964,0.752672457400341,2.86462192993736
Syt14,Syt14,ENSMUSG00000016200,1.231446412275,0.169079027915064,14.2507929438855
Gm37902,Gm37902,ENSMUSG00000103076,1.22952646680486,0.7024003490395,3.03343174347603
Dbx2,Dbx2,ENSMUSG00000045608,1.22777420239762,0.754958367054536,2.31437073560693
Gm10851,Gm10851,ENSMUSG00000102329,1.22631936927395,0.000752870786428419,110.048207530165
Matn3,Matn3,ENSMUSG00000020583,1.22277407651265,0.178193637935722,19.2244037822836
Aunip,Aunip,ENSMUSG00000078521,1.22035230836321,0.718730129193212,2.57012748020662
Aqp8,Aqp8,ENSMUSG00000030762,1.2161224728297,0.732673275529077,2.88068271585824
A730090N16Rik,A730090N16Rik,ENSMUSG00000090120,1.2157964218557,0.694116234545111,3.1767106685248
Gm6443,Gm6443,ENSMUSG00000107824,1.21348285468641,0.767929105112832,2.1973320488206
Gm44660,Gm44660,ENSMUSG00000108942,1.20959832464586,0.727510319300672,4.35888525009955
B930086L07Rik,B930086L07Rik,ENSMUSG00000110282,1.20812083906134,0.781559936040952,4.00191685409606
Gm45531,Gm45531,ENSMUSG00000110353,1.20608628189716,9.44592466756308e-05,78.3190635262751
Gm44763,Gm44763,ENSMUSG00000109517,1.19716758094023,0.47877896877505,8.74911703674617
C530044C16Rik,C530044C16Rik,ENSMUSG00000107667,1.19659277678227,0.79647734332359,2.41900836955783
A230107N01Rik,A230107N01Rik,ENSMUSG00000097292,1.19527901494185,0.345053050326775,9.26148833869901
Gm18706,Gm18706,ENSMUSG00000109882,1.19444224626244,0.600306647179478,5.11069844868952
Gm25911,Gm25911,ENSMUSG00000088246,1.18601281951946,0.840333172519854,2.16983057617369
Slc35g2,Slc35g2,ENSMUSG00000070287,1.18048055383338,0.25378770770052,12.4147252484465
Unc79,Unc79,ENSMUSG00000021198,1.18030023735165,0.693561079913437,4.03330531484934
Adgrb3,Adgrb3,ENSMUSG00000033569,1.17910405329408,0.734824894989667,3.62782904754681
Nxph4,Nxph4,ENSMUSG00000040258,1.17868259517651,0.372926004083652,11.3958925417951
